Johnny Tran
output.txt
Output created from the data2.txt file

Number of Rocks Collected: 20

Position       Distance(in miles)
(  0  ,  0)          0.00
(  4 ,   5)          6.40
(  5 ,  10)          5.10
(  0 ,  10)          5.00
( 20 ,  30)         28.28
( 30 ,  40)         14.14
( 30 ,  45)          5.00
( 40 ,  60)         18.03
( 40 ,  70)         10.00
( 30 ,  65)         11.18
( 20 ,  70)         11.18
( 10 ,  50)         22.36
( 50 ,  50)         40.00
( 60 ,  70)         22.36
( 50 ,  80)         14.14
( 60 ,  90)         14.14
( 75 ,  75)         21.21
( 85 ,  75)         10.00
(100 ,  50)         29.15
( 80 ,  30)         28.28
(100 , 100)         72.80
Total Distance: 388.78 Miles
